地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_男_平地原住民_未婚,1636,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_男_平地原住民_有偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_男_平地原住民_離婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_男_平地原住民_喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_男_山地原住民_未婚,2642,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_男_山地原住民_有偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_男_山地原住民_離婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_男_山地原住民_喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_女_平地原住民_未婚,1557,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_女_平地原住民_有偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲_女_平地原住民_離婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
